trade_id,symbol,setup,direction,entry_price,sl,target,rr,smc_score,entry_time,exit_price,exit_time,exit_reason,gross_pnl_pts,net_pnl_pts,r_multiple,cost_pts
1,NSE:NIFTY 50,SETUP-C,SHORT,24816.05,24871.64,24677.08,2.5,7,2025-09-09T12:05:00+05:30,24871.64,2025-09-09T13:30:00+05:30,SL,-55.59,-130.59,-1.0,75.0
2,NSE:NIFTY 50,SETUP-C,LONG,25365.0,25297.21,25534.47,2.5,6,2025-09-19T09:25:00+05:30,25297.21,2025-09-19T10:00:00+05:30,SL,-67.79,-144.03,-1.0,76.24
3,NSE:NIFTY 50,SETUP-C,LONG,25288.0,25256.28,25367.3,2.5,6,2025-09-22T09:25:00+05:30,25256.28,2025-09-22T13:55:00+05:30,SL,-31.72,-107.82,-1.0,76.1
4,NSE:NIFTY 50,SETUP-C,SHORT,25159.85,25221.02,25006.93,2.5,6,2025-10-08T09:30:00+05:30,25023.8,2025-10-08T15:25:00+05:30,EOD,136.05,60.46,2.2241,75.59
5,NSE:NIFTY 50,SETUP-C,LONG,25880.95,25748.02,26213.28,2.5,5,2025-10-27T09:20:00+05:30,25974.0,2025-10-27T15:25:00+05:30,EOD,93.05,15.2,0.7,77.85
6,NSE:NIFTY 50,SETUP-C,SHORT,25696.65,25775.74,25498.91,2.5,7,2025-11-04T11:00:00+05:30,25586.25,2025-11-04T15:25:00+05:30,EOD,110.4,33.36,1.3959,77.04
7,NSE:NIFTY 50,SETUP-C,LONG,25962.8,25922.28,26064.1,2.5,6,2025-11-25T11:25:00+05:30,25922.28,2025-11-25T14:50:00+05:30,SL,-40.52,-118.37,-1.0,77.85
8,NSE:NIFTY 50,SETUP-C,SHORT,26114.9,26221.23,25849.08,2.5,5,2025-12-02T09:30:00+05:30,26057.0,2025-12-02T15:25:00+05:30,EOD,57.9,-20.32,0.5445,78.22
9,NSE:NIFTY 50,SETUP-C,LONG,26137.25,25989.81,26505.85,2.5,5,2025-12-05T11:00:00+05:30,26176.65,2025-12-05T15:25:00+05:30,EOD,39.4,-39.03,0.2672,78.43
10,NSE:NIFTY 50,SETUP-C,SHORT,25825.85,25979.43,25441.91,2.5,6,2025-12-09T11:00:00+05:30,25841.75,2025-12-09T15:25:00+05:30,EOD,-15.9,-93.48,-0.1035,77.58
11,NSE:NIFTY 50,SETUP-C,SHORT,25860.1,25977.67,25566.18,2.5,6,2025-12-10T11:20:00+05:30,25742.65,2025-12-10T15:25:00+05:30,EOD,117.45,39.99,0.999,77.46
12,NSE:NIFTY 50,SETUP-C,SHORT,25765.3,25928.03,25358.47,2.5,7,2025-12-11T11:00:00+05:30,25898.4,2025-12-11T15:25:00+05:30,EOD,-133.1,-210.71,-0.8179,77.61
13,NSE:NIFTY BANK,SETUP-C,SHORT,54246.75,54515.65,53574.5,2.5,6,2025-09-09T09:20:00+05:30,54228.2,2025-09-09T15:25:00+05:30,EOD,18.55,-133.32,0.069,151.87
14,NSE:NIFTY BANK,SETUP-C,LONG,54995.7,54877.21,55291.92,2.5,6,2025-09-16T09:40:00+05:30,55166.8,2025-09-16T15:25:00+05:30,EOD,171.1,16.97,1.444,154.13
15,NSE:NIFTY BANK,SETUP-C,LONG,54835.15,54587.8,55453.52,2.5,6,2025-10-01T09:40:00+05:30,55386.65,2025-10-01T15:25:00+05:30,EOD,551.5,397.18,2.2296,154.32
16,NSE:NIFTY BANK,SETUP-C,LONG,55807.75,55467.86,56657.47,2.5,6,2025-10-06T09:30:00+05:30,56087.6,2025-10-06T15:25:00+05:30,EOD,279.85,123.42,0.8234,156.43
17,NSE:NIFTY BANK,SETUP-C,LONG,56278.55,56043.69,56865.71,2.5,5,2025-10-07T09:35:00+05:30,56215.6,2025-10-07T15:25:00+05:30,EOD,-62.95,-220.06,-0.268,157.11
18,NSE:NIFTY BANK,SETUP-C,SHORT,56552.75,56666.85,56267.51,2.5,6,2025-10-14T09:40:00+05:30,56267.51,2025-10-14T12:15:00+05:30,TP,285.24,127.77,2.4999,157.47
19,NSE:NIFTY BANK,SETUP-C,LONG,58122.75,57792.75,58947.75,2.5,6,2025-10-29T09:40:00+05:30,58399.05,2025-10-29T15:25:00+05:30,EOD,276.3,113.82,0.8373,162.48
20,NSE:NIFTY BANK,SETUP-C,LONG,58195.75,58058.22,58539.59,2.5,5,2025-10-30T11:00:00+05:30,58058.22,2025-10-30T14:45:00+05:30,SL,-137.53,-299.54,-1.0,162.01
21,NSE:NIFTY BANK,SETUP-C,LONG,58172.1,57798.88,59105.15,2.5,8,2025-10-31T09:25:00+05:30,57798.88,2025-10-31T10:35:00+05:30,SL,-373.22,-534.79,-1.0,161.57
22,NSE:NIFTY BANK,SETUP-C,LONG,57995.35,57751.2,58605.71,2.5,9,2025-11-03T11:45:00+05:30,58116.25,2025-11-03T15:25:00+05:30,EOD,120.9,-41.0,0.4952,161.9
23,NSE:NIFTY BANK,SETUP-C,LONG,58467.6,58186.27,59170.92,2.5,7,2025-11-14T09:30:00+05:30,58186.27,2025-11-14T10:35:00+05:30,SL,-281.33,-443.82,-1.0,162.49
24,NSE:NIFTY BANK,SETUP-C,LONG,59003.9,58765.34,59600.3,2.5,7,2025-11-24T09:55:00+05:30,58765.34,2025-11-24T15:20:00+05:30,SL,-238.56,-402.52,-1.0,163.96
25,NSE:NIFTY BANK,SETUP-C,LONG,59315.9,59062.57,59949.21,2.5,10,2025-12-04T09:20:00+05:30,59062.57,2025-12-04T13:40:00+05:30,SL,-253.33,-418.08,-1.0,164.75
26,NSE:NIFTY BANK,SETUP-C,LONG,59221.55,58954.44,59889.33,2.5,8,2025-12-09T11:05:00+05:30,59212.1,2025-12-09T15:25:00+05:30,EOD,-9.45,-174.35,-0.0354,164.9
27,NSE:NIFTY BANK,SETUP-C,LONG,59403.0,59126.26,60094.86,2.5,5,2025-12-10T09:35:00+05:30,59126.26,2025-12-10T11:20:00+05:30,SL,-276.74,-441.68,-1.0,164.94
28,NSE:NIFTY BANK,SETUP-C,SHORT,59083.95,59396.33,58302.99,2.5,5,2025-12-11T11:00:00+05:30,59396.33,2025-12-11T12:05:00+05:30,SL,-312.38,-477.43,-1.0,165.05
29,NSE:NIFTY BANK,SETUP-C,SHORT,58999.1,59179.76,58547.46,2.5,7,2025-12-19T11:05:00+05:30,59046.8,2025-12-19T15:25:00+05:30,EOD,-47.7,-212.11,-0.264,164.41
30,NSE:NIFTY BANK,SETUP-C,LONG,59387.3,59265.72,59691.24,2.5,5,2025-12-24T11:20:00+05:30,59265.72,2025-12-24T13:05:00+05:30,SL,-121.58,-286.73,-1.0,165.15
